prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
630,blah,blahblah,Classic,180.0,4.0,Very Easy,4.8,4.6
2304,blah,blahblah,DUPLO®,15.0,4.4,Easy,4.0,3.3
7280,blah,blahblah,City,85.0,4.1,Very Easy,3.5,2.3
7281,blah,blahblah,City,40.0,4.1,Very Easy,3.9,2.8
7499,blah,blahblah,City,89.0,2.9,Easy,2.5,2.2
7895,blah,blahblah,City,47.0,4.2,Very Easy,4.1,3.6
8293,blah,blahblah,Power Functions,57.0,4.6,Easy,4.5,3.9
9843,blah,blahblah,MINDSTORMS®,13.0,3.8,Very Easy,3.8,3.5
10214,blah,blahblah,Creator Expert,228.0,4.2,Challenging,4.8,4.6
10220,blah,blahblah,Creator Expert,337.0,4.3,Challenging,4.7,4.5
10242,blah,blahblah,Creator Expert,134.0,4.4,Average,4.7,4.5
10243,blah,blahblah,Creator Expert,202.0,4.7,Challenging,4.9,4.7
10246,blah,blahblah,Creator Expert,177.0,4.4,Challenging,4.6,4.4
10247,blah,blahblah,Creator Expert,91.0,4.9,Challenging,4.9,4.7
10249,blah,blahblah,Creator Expert,142.0,3.9,Average,3.8,3.7
10251,blah,blahblah,Creator Expert,115.0,4.5,Challenging,4.7,4.2
10252,blah,blahblah,Creator Expert,66.0,4.5,Average,4.9,4.7
10253,blah,blahblah,Creator Expert,64.0,3.7,Challenging,4.6,4.6
10254,blah,blahblah,Creator Expert,77.0,4.3,Average,4.3,4.1
10255,blah,blahblah,Creator Expert,99.0,4.7,Challenging,4.8,4.5
10256,blah,blahblah,Creator Expert,43.0,3.9,Challenging,4.8,4.5
10257,blah,blahblah,Creator Expert,53.0,4.2,Challenging,4.4,4.2
10258,blah,blahblah,Creator Expert,53.0,4.1,Average,4.6,4.3
10259,blah,blahblah,Creator Expert,51.0,3.8,Average,3.8,3.4
10260,blah,blahblah,Creator Expert,62.0,4.4,Challenging,4.6,4.3
10507,blah,blahblah,DUPLO®,11.0,4.9,Easy,4.7,4.4
10508,blah,blahblah,DUPLO®,22.0,4.6,Average,4.1,3.7
10572,blah,blahblah,DUPLO®,4.0,4.8,Very Easy,5.0,4.0
10590,blah,blahblah,DUPLO®,3.0,5.0,Easy,5.0,4.7
10592,blah,blahblah,DUPLO®,2.0,5.0,Very Easy,5.0,5.0
10597,blah,blahblah,DUPLO®,4.0,5.0,Easy,4.8,4.7
10606,blah,blahblah,DUPLO®,,,nan,,
10607,blah,blahblah,DUPLO®,3.0,3.0,Easy,3.7,2.5
10608,blah,blahblah,DUPLO®,1.0,5.0,Average,5.0,5.0
10615,blah,blahblah,DUPLO®,3.0,5.0,Very Easy,5.0,4.7
10616,blah,blahblah,DUPLO®,3.0,4.7,Easy,5.0,4.7
10687,blah,blahblah,Juniors,5.0,4.4,Very Easy,4.2,3.8
10692,blah,blahblah,Classic,7.0,4.3,Easy,4.1,4.3
10693,blah,blahblah,Classic,8.0,4.8,Easy,4.9,4.9
10694,blah,blahblah,Classic,6.0,4.3,Easy,4.5,4.3
10696,blah,blahblah,Classic,11.0,4.6,Easy,4.6,4.7
10698,blah,blahblah,Classic,4.0,5.0,Easy,5.0,5.0
10699,blah,blahblah,Classic,24.0,3.9,Very Easy,3.6,2.9
10700,blah,blahblah,Classic,46.0,3.2,Very Easy,2.6,2.5
10701,blah,blahblah,Classic,24.0,4.3,Very Easy,4.1,3.5
10703,blah,blahblah,Classic,2.0,5.0,Average,4.0,4.0
10704,blah,blahblah,Classic,2.0,3.5,nan,4.5,4.5
10706,blah,blahblah,Classic,8.0,4.6,Very Easy,4.8,5.0
10707,blah,blahblah,Classic,4.0,4.3,Average,4.5,4.3
10708,blah,blahblah,Classic,5.0,4.5,Easy,4.8,4.5
10709,blah,blahblah,Classic,3.0,2.7,Easy,4.7,5.0
10713,blah,blahblah,Classic,2.0,5.0,Very Easy,5.0,5.0
10714,blah,blahblah,Classic,6.0,4.7,Very Easy,4.7,4.3
10715,blah,blahblah,Classic,,,nan,,
10720,blah,blahblah,Juniors,,,nan,,
10722,blah,blahblah,Juniors,,,nan,,
10723,blah,blahblah,Juniors,1.0,5.0,Easy,5.0,5.0
10725,blah,blahblah,Juniors,1.0,4.0,Very Easy,4.0,4.0
10726,blah,blahblah,Juniors,2.0,4.0,Very Easy,3.0,3.0
10730,blah,blahblah,Juniors,8.0,3.9,Very Easy,4.0,3.9
10731,blah,blahblah,Juniors,3.0,4.3,Easy,5.0,4.3
10732,blah,blahblah,Juniors,1.0,5.0,nan,5.0,5.0
10733,blah,blahblah,Juniors,3.0,4.3,Easy,4.7,5.0
10734,blah,blahblah,Juniors,2.0,5.0,nan,5.0,4.0
10735,blah,blahblah,Juniors,3.0,5.0,Easy,5.0,4.7
10736,blah,blahblah,Juniors,3.0,4.7,Average,4.7,4.7
10737,blah,blahblah,Juniors,2.0,4.0,Easy,4.5,4.0
10738,blah,blahblah,Juniors,2.0,5.0,Average,5.0,5.0
10739,blah,blahblah,Juniors,2.0,4.5,Easy,4.5,4.0
10740,blah,blahblah,Juniors,1.0,,Easy,4.0,
10742,blah,blahblah,Juniors,2.0,2.5,Easy,3.0,3.0
10743,blah,blahblah,Juniors,2.0,5.0,Easy,4.5,5.0
10744,blah,blahblah,Juniors,2.0,5.0,Average,5.0,4.5
10745,blah,blahblah,Juniors,1.0,5.0,Challenging,5.0,5.0
10746,blah,blahblah,Juniors,2.0,5.0,Easy,5.0,4.5
10747,blah,blahblah,Juniors,1.0,5.0,Average,5.0,4.0
10748,blah,blahblah,Juniors,2.0,5.0,Very Easy,5.0,4.0
10749,blah,blahblah,Juniors,,,nan,,
10750,blah,blahblah,Juniors,,,nan,,
10751,blah,blahblah,Juniors,,,nan,,
10753,blah,blahblah,Juniors,1.0,5.0,Easy,5.0,5.0
10754,blah,blahblah,Juniors,1.0,5.0,nan,4.0,4.0
10755,blah,blahblah,Juniors,,,nan,,
10756,blah,blahblah,Juniors,,,nan,,
10757,blah,blahblah,Juniors,,,nan,,
10758,blah,blahblah,Juniors,,,nan,,
10759,blah,blahblah,Juniors,,,nan,,
10760,blah,blahblah,Juniors,,,nan,,
10761,blah,blahblah,Juniors,,,nan,,
10801,blah,blahblah,DUPLO®,4.0,4.3,Easy,5.0,4.3
10804,blah,blahblah,DUPLO®,2.0,4.5,Easy,4.5,4.0
10805,blah,blahblah,DUPLO®,8.0,4.9,Easy,5.0,4.8
10808,blah,blahblah,DUPLO®,1.0,5.0,Very Easy,5.0,5.0
10809,blah,blahblah,DUPLO®,1.0,3.0,Easy,4.0,3.0
10812,blah,blahblah,DUPLO®,2.0,5.0,Average,5.0,5.0
10813,blah,blahblah,DUPLO®,1.0,5.0,Average,5.0,5.0
10816,blah,blahblah,DUPLO®,6.0,4.8,Easy,5.0,4.7
10817,blah,blahblah,DUPLO®,,,nan,,
10818,blah,blahblah,DUPLO®,,,nan,,
10820,blah,blahblah,DUPLO®,2.0,3.0,Very Easy,3.5,4.0
10822,blah,blahblah,DUPLO®,2.0,5.0,Very Easy,5.0,4.5
10823,blah,blahblah,DUPLO®,3.0,4.3,Average,4.3,3.3
10827,blah,blahblah,DUPLO®,3.0,5.0,Very Easy,5.0,5.0
10828,blah,blahblah,DUPLO®,,,nan,,
10831,blah,blahblah,DUPLO®,,,nan,,
10832,blah,blahblah,DUPLO®,,,nan,,
10833,blah,blahblah,DUPLO®,2.0,5.0,Average,5.0,5.0
10834,blah,blahblah,DUPLO®,2.0,5.0,Average,5.0,5.0
10835,blah,blahblah,DUPLO®,,,nan,,
10836,blah,blahblah,DUPLO®,,,nan,,
10837,blah,blahblah,DUPLO®,5.0,4.5,Easy,4.2,3.8
10838,blah,blahblah,DUPLO®,2.0,5.0,Very Easy,5.0,5.0
10839,blah,blahblah,DUPLO®,,,nan,,
10840,blah,blahblah,DUPLO®,1.0,4.0,Easy,5.0,4.0
10841,blah,blahblah,DUPLO®,,,nan,,
10843,blah,blahblah,DUPLO®,,,nan,,
10844,blah,blahblah,DUPLO®,,,nan,,
10845,blah,blahblah,DUPLO®,6.0,2.2,Average,2.2,3.2
10846,blah,blahblah,DUPLO®,3.0,5.0,Easy,5.0,4.5
10847,blah,blahblah,DUPLO®,5.0,5.0,Easy,5.0,4.8
10848,blah,blahblah,DUPLO®,,,nan,,
10849,blah,blahblah,DUPLO®,,,nan,,
10850,blah,blahblah,DUPLO®,2.0,4.5,Easy,5.0,5.0
10851,blah,blahblah,DUPLO®,,,nan,,
10852,blah,blahblah,DUPLO®,2.0,4.5,Very Easy,5.0,5.0
10854,blah,blahblah,DUPLO®,,,nan,,
10855,blah,blahblah,DUPLO®,,,nan,,
10856,blah,blahblah,DUPLO®,1.0,5.0,Easy,5.0,5.0
10857,blah,blahblah,DUPLO®,1.0,5.0,Easy,5.0,4.0
10858,blah,blahblah,DUPLO®,,,nan,,
10859,blah,blahblah,DUPLO®,,,nan,,
10860,blah,blahblah,DUPLO®,,,nan,,
10861,blah,blahblah,DUPLO®,,,nan,,
10862,blah,blahblah,DUPLO®,,,nan,,
10863,blah,blahblah,DUPLO®,,,nan,,
10864,blah,blahblah,DUPLO®,,,nan,,
10865,blah,blahblah,DUPLO®,,,nan,,
10867,blah,blahblah,DUPLO®,,,nan,,
10868,blah,blahblah,DUPLO®,,,nan,,
10869,blah,blahblah,DUPLO®,,,nan,,
10870,blah,blahblah,DUPLO®,,,nan,,
10871,blah,blahblah,DUPLO®,,,nan,,
10876,blah,blahblah,DUPLO®,,,nan,,
10877,blah,blahblah,DUPLO®,1.0,3.0,nan,4.0,4.0
10878,blah,blahblah,DUPLO®,1.0,5.0,Very Easy,5.0,5.0
10879,blah,blahblah,DUPLO®,1.0,,nan,5.0,
10880,blah,blahblah,DUPLO®,,,nan,,
17101,blah,blahblah,BOOST,63.0,3.8,Average,3.4,3.5
21019,blah,blahblah,Architecture,53.0,3.2,Average,4.6,4.4
21028,blah,blahblah,Architecture,37.0,3.7,Average,4.2,4.1
21029,blah,blahblah,Architecture,24.0,4.4,Average,4.7,4.3
21030,blah,blahblah,Architecture,23.0,3.6,Average,4.6,4.3
21032,blah,blahblah,Architecture,7.0,4.2,Easy,4.6,4.2
21033,blah,blahblah,Architecture,11.0,3.6,Average,4.8,4.5
21034,blah,blahblah,Architecture,23.0,3.6,Average,4.7,4.1
21035,blah,blahblah,Architecture,14.0,3.2,Challenging,4.6,4.1
21036,blah,blahblah,Architecture,14.0,4.1,Average,4.4,3.6
21039,blah,blahblah,Architecture,7.0,3.7,Average,4.9,4.4
21119,blah,blahblah,Minecraft™,16.0,3.1,Average,3.4,3.3
21121,blah,blahblah,Minecraft™,15.0,4.8,Average,4.8,4.5
21122,blah,blahblah,Minecraft™,14.0,3.6,Easy,3.5,2.2
21123,blah,blahblah,Minecraft™,16.0,4.4,Easy,4.6,4.4
21124,blah,blahblah,Minecraft™,6.0,4.8,Average,5.0,4.5
21125,blah,blahblah,Minecraft™,14.0,4.6,Average,4.7,4.7
21126,blah,blahblah,Minecraft™,3.0,4.5,Average,5.0,4.5
21129,blah,blahblah,Minecraft™,5.0,5.0,Average,4.6,4.8
21130,blah,blahblah,Minecraft™,6.0,4.2,Easy,4.7,4.2
21134,blah,blahblah,Minecraft™,7.0,4.0,Average,4.1,3.7
21135,blah,blahblah,Minecraft™,1.0,5.0,Challenging,5.0,5.0
21136,blah,blahblah,Minecraft™,2.0,5.0,Easy,5.0,4.0
21137,blah,blahblah,Minecraft™,11.0,4.3,Challenging,4.5,4.2
21138,blah,blahblah,Minecraft™,4.0,5.0,Easy,4.3,2.7
21139,blah,blahblah,Minecraft™,,,nan,,
21140,blah,blahblah,Minecraft™,4.0,4.5,Average,4.5,5.0
21141,blah,blahblah,Minecraft™,2.0,5.0,Average,5.0,4.5
21142,blah,blahblah,Minecraft™,,,nan,,
21143,blah,blahblah,Minecraft™,1.0,5.0,Average,5.0,5.0
21144,blah,blahblah,Minecraft™,4.0,4.7,Easy,4.8,4.3
21307,blah,blahblah,Ideas,51.0,3.3,Average,4.1,4.0
21308,blah,blahblah,Ideas,23.0,3.6,Easy,3.3,2.7
21309,blah,blahblah,Ideas,367.0,4.6,Challenging,4.9,4.9
21310,blah,blahblah,Ideas,79.0,4.8,Average,5.0,4.7
21312,blah,blahblah,Ideas,33.0,4.4,Easy,4.6,4.5
21313,blah,blahblah,Ideas,83.0,3.7,Average,4.5,4.2
